File,Column,System / File Purpose,Likely Link Target / Use,Example Values,Confidence
MobRegen/KingdomQuest.txt,GroupIndex,quest data and quest relationships,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Linkfield01.txt,GroupIndex,Linkfield 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Linkfield02.txt,GroupIndex,Linkfield 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/PriDn01.txt,GroupIndex,Pri Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/PriDn02.txt,GroupIndex,Pri Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/PsyIn.txt,GroupIndex,Psy In data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/PsyInDn02.txt,GroupIndex,Psy In Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/PsyOut.txt,GroupIndex,Psy Out data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/QField01.txt,GroupIndex,QField 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/QField02.txt,GroupIndex,QField 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/QField03.txt,GroupIndex,QField 03 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/QField04.txt,GroupIndex,QField 04 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/R_Helga01.txt,GroupIndex,R Helga 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Rou.txt,GroupIndex,Rou data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouCos01.txt,GroupIndex,Rou Cos 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouCos02.txt,GroupIndex,Rou Cos 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouCos03.txt,GroupIndex,Rou Cos 03 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouN.txt,GroupIndex,Rou N data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouTemDn01.txt,GroupIndex,Rou Tem Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouTemDn02.txt,GroupIndex,Rou Tem Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouVal01.txt,GroupIndex,Rou Val 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/RouVal02.txt,GroupIndex,Rou Val 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/SwaDn01.txt,GroupIndex,Swa Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/SwaDn02.txt,GroupIndex,Swa Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Urg.txt,GroupIndex,Urg data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/UrgDark01.txt,GroupIndex,Urg Dark 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/UrgFire01.txt,GroupIndex,Urg Fire 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/UrgFireDn01.txt,GroupIndex,Urg Fire Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/UrgSwa01.txt,GroupIndex,Urg Swa 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/UrgSwaDn01.txt,GroupIndex,Urg Swa Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Urg_Alruin.txt,GroupIndex,Urg Alruin data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ValDn01.txt,GroupIndex,Val Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ValDn02.txt,GroupIndex,Val Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/WindyCave.txt,GroupIndex,Windy Cave data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRoam/AdlThornR01.txt,ID,Adl Thorn R 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR02.txt,ID,Adl Thorn R 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR03.txt,ID,Adl Thorn R 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR04.txt,ID,Adl Thorn R 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR05.txt,ID,Adl Thorn R 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR06.txt,ID,Adl Thorn R 06 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR07.txt,ID,Adl Thorn R 07 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR08.txt,ID,Adl Thorn R 08 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR09.txt,ID,Adl Thorn R 09 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR10.txt,ID,Adl Thorn R 10 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR11.txt,ID,Adl Thorn R 11 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/AdlThornR12.txt,ID,Adl Thorn R 12 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/BerValeDw01.txt,ID,Ber Vale Dw 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/BerValeDw02.txt,ID,Ber Vale Dw 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/BerValeDw03.txt,ID,Ber Vale Dw 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/BerValeDw04.txt,ID,Ber Vale Dw 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/BerValeGaruda.txt,ID,Ber Vale Garuda data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress01.txt,ID,Gold/Battle mini-game Waitress 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress02.txt,ID,Gold/Battle mini-game Waitress 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress03.txt,ID,Gold/Battle mini-game Waitress 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress04.txt,ID,Gold/Battle mini-game Waitress 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress05.txt,ID,Gold/Battle mini-game Waitress 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress06.txt,ID,Gold/Battle mini-game Waitress 06 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress07.txt,ID,Gold/Battle mini-game Waitress 07 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress08.txt,ID,Gold/Battle mini-game Waitress 08 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress09.txt,ID,Gold/Battle mini-game Waitress 09 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/GB_Waitress10.txt,ID,Gold/Battle mini-game Waitress 10 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobRoam/Kal01_HERO1.txt,ID,Kal 01 HERO 1 data/configuration,Numeric identifier used as a foreign key or lookup key.,,High
MobSetting/Action/B_Slime.txt,ConditionID,B Slime data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/B_Slime.txt,ActionID,B Slime data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/BallCake01.txt,ConditionID,Ball Cake 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/BallCake01.txt,ActionID,Ball Cake 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/BallWater.txt,ConditionID,Ball Water data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/BallWater.txt,ActionID,Ball Water data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/C_Gate01.txt,ConditionID,C Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/C_Gate01.txt,ActionID,C Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/ChristmasTree.txt,ConditionID,Christmas Tree data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/ChristmasTree.txt,ActionID,Christmas Tree data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_EntranceGate.txt,ConditionID,DT Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_EntranceGate.txt,ActionID,DT Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_ExitGate.txt,ConditionID,DT Exit Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_ExitGate.txt,ActionID,DT Exit Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_RadionOre.txt,ConditionID,DT Radion Ore data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/DT_RadionOre.txt,ActionID,DT Radion Ore data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SixYear_Dance.txt,ConditionID,E Six Year Dance data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SixYear_Dance.txt,ActionID,E Six Year Dance data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Blue.txt,ConditionID,E Ski Flag Blue data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Blue.txt,ActionID,E Ski Flag Blue data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Gold.txt,ConditionID,E Ski Flag Gold data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Gold.txt,ActionID,E Ski Flag Gold data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Red.txt,ConditionID,E Ski Flag Red data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_SkiFlag_Red.txt,ActionID,E Ski Flag Red data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_Ski_IDHoneying.txt,ConditionID,E Ski IDHoneying data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_Ski_IDHoneying.txt,ActionID,E Ski IDHoneying data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_Ski_Snowman.txt,ConditionID,E Ski Snowman data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/E_Ski_Snowman.txt,ActionID,E Ski Snowman data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Egg2014_BigEgg.txt,ConditionID,Egg 2014 Big Egg data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Egg2014_BigEgg.txt,ActionID,Egg 2014 Big Egg data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxAll.txt,ConditionID,Guild Tournament Island Box All data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxAll.txt,ActionID,Guild Tournament Island Box All data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxTeamA.txt,ConditionID,Guild Tournament Island Box Team A data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxTeamA.txt,ActionID,Guild Tournament Island Box Team A data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxTeamB.txt,ConditionID,Guild Tournament Island Box Team B data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/GTI_BoxTeamB.txt,ActionID,Guild Tournament Island Box Team B data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Gate_AdlF.txt,ConditionID,Gate Adl F data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Gate_AdlF.txt,ActionID,Gate Adl F data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Gate_Lab.txt,ConditionID,Gate Lab data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/Gate_Lab.txt,ActionID,Gate Lab data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDLeviathanGate01.txt,ConditionID,IDLeviathan Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDLeviathanGate01.txt,ActionID,IDLeviathan Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate00.txt,ConditionID,IDMap Link Gate 00 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate00.txt,ActionID,IDMap Link Gate 00 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate01.txt,ConditionID,IDMap Link Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate01.txt,ActionID,IDMap Link Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate02.txt,ConditionID,IDMap Link Gate 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate02.txt,ActionID,IDMap Link Gate 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate03.txt,ConditionID,IDMap Link Gate 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/IDMapLinkGate03.txt,ActionID,IDMap Link Gate 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Ball.txt,ConditionID,KDSoccer Ball data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Ball.txt,ActionID,KDSoccer Ball data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Ball_14.txt,ConditionID,KDSoccer Ball 14 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Ball_14.txt,ActionID,KDSoccer Ball 14 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Invincible.txt,ConditionID,KDSoccer Invincible data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_Invincible.txt,ActionID,KDSoccer Invincible data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_SpeedUp.txt,ConditionID,KDSoccer Speed Up data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KDSoccer_SpeedUp.txt,ActionID,KDSoccer Speed Up data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KarenGate.txt,ConditionID,Karen Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/KarenGate.txt,ActionID,Karen Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField01.txt,ConditionID,Light Field 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField01.txt,ActionID,Light Field 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField02.txt,ConditionID,Light Field 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField02.txt,ActionID,Light Field 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField03.txt,ConditionID,Light Field 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField03.txt,ActionID,Light Field 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField04.txt,ConditionID,Light Field 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField04.txt,ActionID,Light Field 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField05.txt,ConditionID,Light Field 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightField05.txt,ActionID,Light Field 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb01.txt,ConditionID,Light Orb 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb01.txt,ActionID,Light Orb 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb02.txt,ConditionID,Light Orb 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb02.txt,ActionID,Light Orb 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb03.txt,ConditionID,Light Orb 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb03.txt,ActionID,Light Orb 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb04.txt,ConditionID,Light Orb 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb04.txt,ActionID,Light Orb 04 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb05.txt,ConditionID,Light Orb 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb05.txt,ActionID,Light Orb 05 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb06.txt,ConditionID,Light Orb 06 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb06.txt,ActionID,Light Orb 06 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb07.txt,ConditionID,Light Orb 07 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb07.txt,ActionID,Light Orb 07 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb08.txt,ConditionID,Light Orb 08 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb08.txt,ActionID,Light Orb 08 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb09.txt,ConditionID,Light Orb 09 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb09.txt,ActionID,Light Orb 09 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb10.txt,ConditionID,Light Orb 10 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/LightOrb10.txt,ActionID,Light Orb 10 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MapLinkGate.txt,ConditionID,Map Link Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MapLinkGate.txt,ActionID,Map Link Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MapLinkGate01.txt,ConditionID,Map Link Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MapLinkGate01.txt,ActionID,Map Link Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect.txt,ConditionID,Multi Protect data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect.txt,ActionID,Multi Protect data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect02.txt,ConditionID,Multi Protect 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect02.txt,ActionID,Multi Protect 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect03.txt,ConditionID,Multi Protect 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/MultiProtect03.txt,ActionID,Multi Protect 03 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/SpImShield.txt,ConditionID,skill/spirit points Im Shield data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/SpImShield.txt,ActionID,skill/spirit points Im Shield data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/SpUpShoes.txt,ConditionID,skill/spirit points Up Shoes data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/SpUpShoes.txt,ActionID,skill/spirit points Up Shoes data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/T_Gate01.txt,ConditionID,T Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/T_Gate01.txt,ActionID,T Gate 01 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/T_Gate02.txt,ConditionID,T Gate 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/T_Gate02.txt,ActionID,T Gate 02 data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/WarBL_EntranceGate.txt,ConditionID,War BL Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/WarBL_EntranceGate.txt,ActionID,War BL Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/WarH_EntranceGate.txt,ConditionID,War H Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
MobSetting/Action/WarH_EntranceGate.txt,ActionID,War H Entrance Gate data/configuration,Numeric identifier used as a foreign key or lookup key.,,Medium
TutorialCharacterData.txt,Start Map name,Tutorial Character Data data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
TutorialCharacterData.txt,Item ID,Tutorial Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
TutorialCharacterData.txt,Item Lot,Tutorial Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
TutorialCharacterData.txt,Item ID,Tutorial Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
TutorialCharacterData.txt,Item Lot,Tutorial Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/Field.txt,MapIDClient,Field data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/Field.txt,MapName,Field data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/Field.txt,ItemDropByKilled,Field data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Links to drop/loot tables or drop group rows.,,High
World/Field.txt,SystemMap,Field data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/Field.txt,CanItem,Field data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/Field.txt,CanSkill,Field data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
World/Field.txt,ExpLostAtDeadByMob,Field data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
World/ItemDropGroup.txt,ItemGroupIdx,drop group loot tables,Links to item tables such as ItemInfo / ItemInfoServer. Often groups multiple rows together under one table-specific group key.,,High
World/ItemDropGroup.txt,ItemID,drop group loot tables,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
World/ItemDropTable.txt,MapArea,drop/loot configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
World/ItemDropTable.txt,MobId,drop/loot configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Numeric identifier used as a foreign key or lookup key.,,High
World/ItemDropTable.txt,AbStateCnt,drop/loot configuration,Links to AbState buff/debuff definitions.,,High
World/ItemDropTable.txt,DrItem1,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem1R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem2,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem2R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem3,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem3R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem4,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem4R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem5,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem5R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem6,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem6R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem7,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem7R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem8,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem8R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem9,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem9R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem10,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem10R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem11,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem11R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem12,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem12R,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
World/ItemDropTable.txt,DrItem13,drop/loot configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
